x_value,y_value
0,0.1
1,0.1
2,0.1
3,0.1
4,0.1
5,0.1
6,0.1
7,0.1
8,0.1
9,0.1
10,0.1
11,0.1
12,0.1
13,0.1
14,0.1
15,0.1
16,0.1
17,0.1
18,0.1
19,0.1
20,0.1
21,0.1
22,0.1
23,0.1
24,0.1
25,0.1
26,0.1
27,0.1
28,0.1
29,0.1
30,0.1
31,0.1
32,0.1
33,0.1
34,0.1
35,0.1
36,0.1
37,0.1
38,0.1
39,0.1
40,0.1
41,0.1
42,0.1
43,0.1
44,0.1
45,0.1
46,0.1
47,0.1
48,0.1
49,0.1
50,0.1
51,0.1
52,0.1
53,0.1
54,0.1
55,0.1
56,0.1
57,0.1
58,0.1
59,0.1
60,0.1
61,0.1
62,0.1
63,0.1
64,0.1
65,0.1
66,0.1
67,0.1
68,0.1
69,0.1
70,0.1
71,0.1
72,0.1
73,0.1
74,0.1
75,0.1
76,0.1
77,0.1
78,0.1
79,0.1
80,0.1
81,0.1
82,0.101
83,0.6058104008241167
84,1.6076983375902767
85,3.1009365139643608
86,5.08069034033513
87,7.542921345337014
88,10.484304047680453
89,13.902154048326189
90,17.79436554153552
91,22.159356782890825
92,26.996022318213605
93,32.3036909875009
94,38.082088885721
95,44.33130659726041
96,51.05177013023578
97,58.24421506623572
98,65.90966351449812
99,74.04940352025793
100,82.66497062750013
101,91.75813133856681
102,101.33086824852498
103,111.38536666212153
104,121.92400252650472
105,132.94933153446
106,144.46407927132628
107,156.4711322945416
108,168.97353004833613
109,181.974457527794
110,195.47723861662774
111,209.48533003179045
112,224.0023158156875
113,239.03190232340867
114,254.57791365822175
115,270.6442875136669
116,287.23507138506767
117,304.3544191172134
118,322.0065877584386
119,340.19593469439235
120,358.9269150375047
121,378.20407925056224
122,398.04661103079263
123,418.4640222898202
124,439.4660662554077
125,461.0626841515824
126,483.26395834705613
127,506.08007169791847
128,529.5212727308382
129,553.597846257927
130,578.320088980525
131,603.698289622962
132,629.742713135487
133,656.4635885149634
134,683.8710998098547
135,711.9753799001029
136,740.7865066707077
137,770.3145012284938
138,800.5693278433499
139,831.5608953270952
140,863.2990595942533
141,895.7936271788175
142,929.0543595091411
143,963.0909777691392
144,997.9131681978723
145,1033.5305877012715
146,1069.9528696692412
147,1107.1896299087462
148,1145.2504726188251
149,1184.1449963469304
