x_value,y_value
0,0.1
1,0.1
2,0.1
3,0.1
4,0.1
5,0.1
6,0.1
7,0.1
8,0.1
9,0.1
10,0.1
11,0.1
12,0.1
13,0.1
14,0.1
15,0.1
16,0.1
17,0.1
18,0.1
19,0.1
20,0.1
21,0.1
22,0.1
23,0.1
24,0.1
25,0.1
26,0.1
27,0.1
28,0.1
29,0.1
30,0.1
31,0.1
32,0.1
33,0.1
34,0.1
35,0.1
36,0.1
37,0.1
38,0.1
39,0.1
40,0.1
41,0.1
42,0.1
43,0.1
44,0.1
45,0.1
46,0.1
47,0.1
48,0.1
49,0.1
50,0.1
51,0.101
52,0.10201
53,0.1030301
54,0.104060401
55,0.10510100501
56,0.1061520150601
57,0.107213535210701
58,0.10828567056280801
59,0.10936852726843609
60,0.11046221254112044
61,0.11156683466653165
62,0.11268250301319697
63,0.11380932804332894
64,0.11494742132376223
65,0.11609689553699985
66,0.11725786449236986
67,0.11843044313729356
68,0.1196147475686665
69,0.12081089504435316
70,0.12201900399479669
71,0.12323919403474466
72,0.12447158597509211
73,0.12571630183484303
74,0.12697346485319147
75,0.1282431995017234
76,0.12952563149674062
77,0.13082088781170803
78,0.13212909668982512
79,0.13345038765672337
80,0.1347848915332906
81,0.1361327404486235
82,0.13749406785310975
83,0.13886900853164086
84,0.14025769861695728
85,0.14166027560312686
86,0.14307687835915814
87,0.15219656656622987
88,0.1591007758283283
89,0.182515204215362
90,0.1996167506976409
91,0.23993838963251085
92,0.26916560352836144
93,0.3263382260838983
94,0.3677382849089145
95,0.44014327869816455
96,0.49265403914325884
97,0.5779040709966365
98,0.6399095557299644
99,0.7353597344086616
100,0.8050490899377265
101,0.9080976805952539
102,0.9836773272319115
103,1.0919247251443567
104,1.1717314096438887
105,1.2830499405482978
106,1.395481656761751
107,1.4791573250949477
108,1.6127702992002857
109,1.7120729827903605
110,1.8606766249992006
111,1.9713214299158481
112,2.1301887009198333
113,2.2488984276224104
114,2.414399930219628
115,2.5386526923465196
116,2.7079881574908584
117,2.8790169772866405
118,3.0085714038141185
119,3.2011497691811117
120,3.3469061228031194
121,3.502449688827351
122,3.719085113639889
123,3.965683228146932
124,4.3079977216879
125,4.653735360164277
126,5.002930375025419
127,5.355617340035172
128,5.621033876317173
129,5.980225410608984
130,6.343008860243713
131,6.709420144374789
132,7.079495541347176
133,7.453271692289286
134,7.830785604740818
135,8.212074656316865
136,8.506282239750082
137,8.894899865271379
138,9.287403667047888
139,9.683832506842164
140,10.08422563503438
141,10.48862269450852
142,10.8970637245774
143,11.309589164946969
144,11.726239859720234
145,12.147057061441233
146,12.572082435179441
147,13.001358062655031
148,13.434926446405377
149,13.872830513993227
